rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
974848,2711552,876544,4096,0,233472,0,110592,133120,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,134144,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,133120,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,134144,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,136192,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,136192,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,136192,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,134144,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,136192,0,11,0,0,0,4208,0
974848,2711552,876544,4096,0,233472,0,110592,135168,0,11,0,0,0,4208,0
