rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,162816,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,164864,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
962560,2736128,864256,24576,0,233472,0,135168,163840,0,11,0,0,0,4208,0
