rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,152576,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,152576,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
1011712,2719744,917504,4096,0,233472,0,126976,154624,0,11,0,0,0,4208,0
