rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
966656,2711552,872448,4096,0,233472,0,106496,135168,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,135168,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,136192,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,135168,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
966656,2711552,872448,4096,0,233472,0,106496,138240,0,11,0,0,0,4208,0
