rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,130048,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,130048,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
1069056,2711552,974848,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
