rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
974848,2711552,880640,4096,0,233472,0,106496,136192,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,136192,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,137216,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,136192,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
974848,2711552,880640,4096,0,233472,0,106496,139264,0,11,0,0,0,4208,0
