rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
1069056,2727936,974848,20480,0,233472,0,122880,150528,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,149504,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,150528,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
1069056,2727936,974848,20480,0,233472,0,122880,152576,0,11,0,0,0,4208,0
