rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
987136,2752512,892928,36864,0,233472,0,147456,177152,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,177152,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,179200,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,178176,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
987136,2752512,892928,36864,0,233472,0,147456,180224,0,11,0,0,0,4208,0
