rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,163840,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,166912,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,166912,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,164864,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,167936,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,165888,0,11,0,0,0,4208,0
1048576,2719744,954368,4096,0,233472,0,131072,166912,0,11,0,0,0,4208,0
